update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,167.45566878599448,12,0.2859722226858139,0.4260844698488719,0.0,0.9866666793823242,17.6875,24.593491898264467,0.0,91.0,1.9379450132449467,-0.08069804004238297,-0.04400142581289401,0.013539056166261313,0.12481293239571363,0.2859722226858139,0.4260844698488719,0.0,0.9866666793823242
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,174.88169523584838,23,0.39444444701075554,0.4512629768574571,0.0,0.9866666793823242,25.125,32.965654475529526,0.0,113.0,1.937076420833667,-0.06477748150549208,-0.02623262478058071,0.006942618031260395,0.08340251547367594,0.39444444701075554,0.4512629768574571,0.0,0.9866666793823242
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,175.15772302279834,35,0.39444444701075554,0.4512629768574571,0.0,0.9866666793823242,33.9375,42.53009045076203,0.0,141.0,1.9375418337682884,-0.05921075749211013,-0.012196962009814646,0.00010551052983487352,0.05578713283144246,0.39444444701075554,0.4512629768574571,0.0,0.9866666793823242
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,177.84267883713355,47,0.17052631864422246,0.33724477065096564,0.0,0.948888897895813,321.05263157894734,149.65345009271834,23.0,405.0,1.9401688079039257,-0.02183595184760634,-0.039339654098512256,0.015382533683653795,0.11209658606407831,0.17052631864422246,0.33724477065096564,0.0,0.948888897895813
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,181.6966956480391,58,0.1748611144721508,0.36409089126615163,0.0,0.948888897895813,228.1875,163.4125219918902,23.0,405.0,1.9406467049072187,-0.01988865657282683,-0.003915062577561912,5.855102005133025e-05,0.05342289515242426,0.1748611144721508,0.36409089126615163,0.0,0.948888897895813
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,183.17378772094654,69,0.2613888941705227,0.40569547513399196,0.0,0.9733333587646484,194.875,157.13643554249282,12.0,405.0,1.9410017803311348,-0.013408543813663224,-0.00597600323453662,0.0008914460154111717,0.046951879464917134,0.2613888941705227,0.40569547513399196,0.0,0.9733333587646484
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,182.22619207279055,80,0.20680555747821927,0.3750962625358996,0.0,0.995555579662323,285.1875,174.81069001565666,2.0,405.0,1.9405809678137302,-0.000790672973683589,-0.010674442539690668,0.005235376481261748,0.049727816968376255,0.20680555747821927,0.3750962625358996,0.0,0.995555579662323
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,182.17065070621885,92,0.14013888966292143,0.3227844425972827,0.0,0.995555579662323,241.8125,182.5558882746596,2.0,405.0,1.9409957795093458,0.0012536874918017322,-0.0018468602443893662,0.0001977800243035214,0.052294023491115005,0.14013888966292143,0.3227844425972827,0.0,0.995555579662323
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,182.19354794921043,103,0.06791666708886623,0.17217556642074455,0.0,0.6800000071525574,240.0,163.26703586456148,3.0,405.0,1.9412823263555765,0.00642305898933652,-0.007041691037102282,0.0025395947055055026,0.0489304720211593,0.06791666708886623,0.17217556642074455,0.0,0.6800000071525574
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,181.8789584409344,114,0.247916666790843,0.39900955244323927,0.0,0.9822221994400024,186.5,185.70675808919825,4.0,405.0,1.9399553729842107,0.024770021244573098,-0.021243073221133574,0.013218075485080286,0.08510060668915108,0.247916666790843,0.39900955244323927,0.0,0.9822221994400024
11,22528,180.13097051426485,126,0.2904166681692004,0.41652569570668496,0.0,0.9822221994400024,200.6875,174.16361515468722,8.0,405.0,1.9389467344929774,0.03623438882641494,-0.007678687125614185,0.006561408496812267,0.0553063226948348,0.2904166681692004,0.41652569570668496,0.0,0.9822221994400024
12,24576,184.90794790352183,137,0.20569444727152586,0.3414646858176187,0.0,0.9711111187934875,260.75,157.2877538144658,13.0,405.0,1.9383873709787924,0.03941708063939586,-0.006236371278646402,0.005168008620226298,0.061823350900105906,0.20569444727152586,0.3414646858176187,0.0,0.9711111187934875
13,26624,184.94022621785143,148,0.21722222538664937,0.3654563399513127,0.0,0.9911110997200012,249.375,159.85418159998193,4.0,405.0,1.9377419768522184,0.031190642398238804,0.003592227763571524,0.0021086043234663046,0.043787862526411835,0.21722222538664937,0.3654563399513127,0.0,0.9911110997200012
14,28672,182.12224774403094,159,0.2505555562674999,0.3764162558543335,0.0,0.9977777600288391,200.8125,162.49777642709452,1.0,405.0,1.938240207110842,0.043742424924857914,-0.005282808210722578,0.005227514653218653,0.053910126946528546,0.2505555562674999,0.3764162558543335,0.0,0.9977777600288391
15,30720,168.15125898390178,171,0.3248611092567444,0.4230702120564277,0.0,0.9977777600288391,190.4375,170.09481501136358,1.0,405.0,1.9392589572817087,0.05192799033829942,-0.01136547643788314,0.009129439310754606,0.053776059393314646,0.3248611092567444,0.4230702120564277,0.0,0.9977777600288391
16,32768,171.0096498951906,183,0.3638888858258724,0.41509220712558215,0.0,0.9711111187934875,165.0,164.61470165206995,6.0,405.0,1.9389335910479228,0.04924098922250172,0.0010308375531167258,0.0037165068602919384,0.0486104201289444,0.3638888858258724,0.41509220712558215,0.0,0.9711111187934875
17,34816,169.15938257339855,195,0.14944444224238396,0.3114992571975682,0.0,0.8488888740539551,270.75,166.50731965892672,17.0,405.0,1.939143231138587,0.036958399888438485,0.009306500583382634,6.66910611162308e-05,0.03403579181295637,0.14944444224238396,0.3114992571975682,0.0,0.8488888740539551
18,36864,170.99593773064845,207,0.09875000081956387,0.24641124399975783,0.0,0.9577777981758118,297.0,154.97540127387958,12.0,405.0,1.9390497629841168,0.0398396291420795,-0.0007550908915921658,0.0035346094960289065,0.04340087463061881,0.09875000081956387,0.24641124399975783,0.0,0.9577777981758118
19,38912,171.48926347256065,219,0.24819444306194782,0.3631546604088104,0.0,0.9577777981758118,203.9375,161.14375133324282,12.0,405.0,1.9396562160303195,0.054358269670046866,-0.010512432204753471,0.008834848570434891,0.07575011205187554,0.24819444306194782,0.3631546604088104,0.0,0.9577777981758118
20,40960,171.1176777062646,231,0.32555555179715157,0.40502704758428376,0.0,0.9888888597488403,217.5,164.75967346410954,5.0,405.0,1.9380000662058592,0.05517790476248289,-0.014825349318319544,0.01190174560182792,0.06397458954057299,0.32555555179715157,0.40502704758428376,0.0,0.9888888597488403
21,43008,170.01454896231652,243,0.2377777760848403,0.3689457740793022,0.0,0.9888888597488403,257.5625,162.84884431198768,5.0,405.0,1.9377829643587272,0.04705713747534901,0.010520488438487519,0.00010846438287378153,0.04172754263404856,0.2377777760848403,0.3689457740793022,0.0,0.9888888597488403
22,45056,170.89684186199952,255,0.1306944452226162,0.23434729199215787,0.0,0.7888888716697693,252.5625,144.24240393778106,13.0,405.0,1.9367138246695201,0.04764922828568766,-0.002556120140676891,0.004268351395239733,0.04313767445324083,0.1306944452226162,0.23434729199215787,0.0,0.7888888716697693
23,47104,173.13516372120327,267,0.3009722223505378,0.40741580131090654,0.0,0.9844444394111633,175.375,158.3677977841455,7.0,405.0,1.9349544886499643,0.04837647173553705,-0.009026305701506013,0.010384088682561318,0.04359820826016612,0.3009722223505378,0.40741580131090654,0.0,0.9844444394111633
24,49152,171.82558254366808,279,0.3483333336189389,0.4026045591726884,0.0,0.9844444394111633,220.5625,149.1743814927684,7.0,405.0,1.9322737995535135,0.052451268556372575,-0.00933088479481133,0.007003391624986459,0.07576432018553543,0.3483333336189389,0.4026045591726884,0.0,0.9844444394111633
25,51200,171.18803672292344,291,0.25916666630655527,0.3751961403341003,0.0,0.9688888788223267,213.1875,147.52000658808961,14.0,405.0,1.9299046161274116,0.0473938468300427,0.003247807012182117,0.004052593715632232,0.03650971111578879,0.25916666630655527,0.3751961403341003,0.0,0.9688888788223267
26,53248,170.37003010078564,303,0.2249999986961484,0.3695012465133664,0.0,0.9777777791023254,239.25,168.29234236886717,7.0,405.0,1.9325797179092963,0.0631520723303159,-0.016965483967699885,0.01285970413891846,0.062167881982766265,0.2249999986961484,0.3695012465133664,0.0,0.9777777791023254
27,55296,171.77433767440453,315,0.195555554702878,0.34274220725798626,0.0,0.9777777791023254,234.4375,162.29254786881003,6.0,405.0,1.935283437371254,0.06653519380294408,0.0037004231853643432,0.002968328077874579,0.042741883695021965,0.195555554702878,0.34274220725798626,0.0,0.9777777791023254
