update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,370.96961407508303,5,0.0,0.0,0,0,0.0,0.0,0,0,1.9451923451075952,-0.04818672690695772,-0.008688555295520928,2.069353213466722e-05,0.03554107277200445,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,383.8672715400336,10,0.018175000324845314,0.07039147357544029,0.0,0.290800005197525,246.6875,12.829257334312068,197.0,250.0,1.9453008311490219,-0.02951555047184229,-0.014022244986942193,0.000598283339485306,0.03472233611956913,0.018175000324845314,0.07039147357544029,0.0,0.290800005197525
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,384.64895061907237,16,0.0838250033557415,0.2236214285750775,0.0,0.7516000270843506,230.1875,53.01912243474047,69.0,250.0,1.9447955961028736,-0.020161914556714084,-0.01948055826687778,0.005384572272738808,0.04275108654246932,0.0838250033557415,0.2236214285750775,0.0,0.7516000270843506
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,391.0555220669668,21,0.11050000274553895,0.22830421252730157,0.0,0.7516000270843506,226.25,53.7360446999963,69.0,250.0,1.9443971520910661,-0.01003907986159902,-0.009191245024946207,0.0006800850176228815,0.029151625837181633,0.11050000274553895,0.22830421252730157,0.0,0.7516000270843506
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,393.28837932041904,26,0.02667499938979745,0.0811685528174621,0.0,0.32679998874664307,246.0625,15.249871925691703,187.0,250.0,1.9445923094948132,-0.009214608966431115,-0.001958502495654102,5.3033348379472045e-06,0.013758761907284483,0.02667499938979745,0.0811685528174621,0.0,0.32679998874664307
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,393.54153528090075,31,0.017500000074505806,0.06777720884718953,0.0,0.2800000011920929,246.875,12.103072956898178,200.0,250.0,1.944904734690984,-0.00607390254905719,-0.0055931775570267446,0.0004641820522334565,0.017224950549764768,0.017500000074505806,0.06777720884718953,0.0,0.2800000011920929
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,394.79850126177917,37,0.017500000074505806,0.06777720884718953,0.0,0.2800000011920929,246.875,12.103072956898178,200.0,250.0,1.9451786087205012,-0.005753216869682849,-0.0010205803199975587,4.589699466113946e-06,0.011442434251999513,0.017500000074505806,0.06777720884718953,0.0,0.2800000011920929
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,395.57542488071397,42,0.015475000254809856,0.0599344182694341,0.0,0.2476000040769577,247.4375,9.924519824656505,209.0,250.0,1.9452730516592662,-0.003766906125292735,-0.004128073324106178,0.00035357803535400006,0.01646458948172159,0.015475000254809856,0.0599344182694341,0.0,0.2476000040769577
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,395.23241140262013,47,0.05862500052899122,0.17373968981711477,0.0,0.6904000043869019,237.1875,40.27284871659813,86.0,250.0,1.9442829539378483,0.0031989175903011833,-0.00783876110873886,0.002687987438579379,0.02554333257918585,0.05862500052899122,0.17373968981711477,0.0,0.6904000043869019
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,388.7227104397415,52,0.05840000044554472,0.17349697521909518,0.0,0.6904000043869019,237.25,40.22980860009155,86.0,250.0,1.9433921581755083,0.004804088475793833,-0.0012654329232949142,0.0003260452781119009,0.012483806948025608,0.05840000044554472,0.17349697521909518,0.0,0.6904000043869019
11,22528,390.0550282381103,57,0.04242500010877848,0.11720413557111223,0.0,0.43479999899864197,241.6875,23.90533086468372,157.0,250.0,1.943639613687992,0.007670804481070566,-0.0013503560144651299,0.0001984333769833313,0.019230781827132237,0.04242500010877848,0.11720413557111223,0.0,0.43479999899864197
12,24576,385.8624748715818,63,0.04287499934434891,0.11798840654421014,0.0,0.43479999899864197,241.5625,24.075321259538782,157.0,250.0,1.944173659508427,0.010955054603982717,0.0003667037561475202,0.00033591848444558536,0.013224824913564642,0.04287499934434891,0.11798840654421014,0.0,0.43479999899864197
