update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,154.85069515782516,13,0.08787500113248825,0.2327469781867456,0.0,0.7336000204086304,10.3125,27.449314085237177,0.0,91.0,1.943900939077139,0.04384825138064722,-0.008374963049845974,0.004778492994925425,0.03862033599735189,0.08787500113248825,0.2327469781867456,0.0,0.7336000204086304
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,156.1111906878366,26,0.08787500113248825,0.2327469781867456,0.0,0.7336000204086304,229.0625,55.47687440501673,74.0,250.0,1.9438402497520049,0.03201912861550227,0.009558912816525359,5.469850121642139e-05,0.020449457858728527,0.08787500113248825,0.2327469781867456,0.0,0.7336000204086304
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,157.53641020607498,39,0.03864999860525131,0.14969080092907822,0.0,0.618399977684021,241.0,34.85685011586675,106.0,250.0,1.9434285840640466,0.03441677876010848,-0.0003017795000535746,0.001918889514764525,0.022858631750868167,0.03864999860525131,0.14969080092907822,0.0,0.618399977684021
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,156.6180860405784,52,0.03864999860525131,0.14969080092907822,0.0,0.618399977684021,241.0,34.85685011586675,106.0,250.0,1.9432084020227194,0.030384681953970965,0.009879051879882658,4.993992858359775e-05,0.018482139388504654,0.03864999860525131,0.14969080092907822,0.0,0.618399977684021
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,156.8199238984905,65,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.943839632595579,0.02563101242412813,0.005456709889889074,2.2338819648600367e-05,0.013226737261544523,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,157.8247177254033,78,0.029200000688433647,0.11309111637554861,0.0,0.46720001101493835,243.625,24.69026883207228,148.0,250.0,1.9441398438066244,0.02131077758773851,0.006499369083788527,4.568720169473295e-05,0.013139434843799253,0.029200000688433647,0.11309111637554861,0.0,0.46720001101493835
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,157.32211530809866,91,0.047200001776218414,0.1828048208202544,0.0,0.7552000284194946,238.625,44.05518556310937,68.0,250.0,1.9448116701096296,0.01946662693808321,-0.0003516493467638308,0.0006960515155138106,0.01683624565381991,0.047200001776218414,0.1828048208202544,0.0,0.7552000284194946
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,157.02693847804053,104,0.0588500015437603,0.18534745726456395,0.0,0.7552000284194946,237.125,44.05092933185406,68.0,250.0,1.9451668243855238,0.01790437139182662,0.0030077179848528126,0.00018127499688821067,0.010970130103153196,0.0588500015437603,0.18534745726456395,0.0,0.7552000284194946
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,157.96621295813515,117,0.03819999843835831,0.14794795777691105,0.0,0.6111999750137329,241.125,34.37272719759083,108.0,250.0,1.945337848116954,0.01953113364773647,-0.0034606131440947743,0.001980440844581229,0.021791453148480036,0.03819999843835831,0.14794795777691105,0.0,0.6111999750137329
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,157.90950837560985,130,0.03819999843835831,0.14794795777691105,0.0,0.6111999750137329,241.125,34.37272719759083,108.0,250.0,1.9452395314971607,0.016514227909889694,0.005041754962500515,2.4447139018946018e-05,0.009038541668521022,0.03819999843835831,0.14794795777691105,0.0,0.6111999750137329
11,22528,156.75741929481728,143,0.011424999684095383,0.04424883350692642,0.0,0.18279999494552612,248.5625,5.567413560173161,227.0,250.0,1.945283427213629,0.017155578811070882,0.0010533446442574739,0.0001696732894747773,0.01134603917125245,0.011424999684095383,0.04424883350692642,0.0,0.18279999494552612
12,24576,154.30878482828786,156,0.04934999905526638,0.10648059488864972,0.0,0.34119999408721924,241.5,19.329381780077707,183.0,250.0,1.945102975393335,0.017853194537262123,0.0001448600529935599,0.000741540525453388,0.016254367623716955,0.04934999905526638,0.10648059488864972,0.0,0.34119999408721924
