update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,237.76896585932738,8,0.36357143095561434,0.3443905018943656,0.0,0.9100000262260437,65.95238095238095,33.313055056362046,10.0,100.0,1.9415286760777235,0.11820519583610196,-0.03098598161280582,0.018092276897732518,0.20701661988499734,0.36357143095561434,0.3443905018943656,0.0,0.9100000262260437
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,244.80139593145532,16,0.20583333478619656,0.3180101782811487,0.0,0.8560000061988831,80.83333333333333,30.612724297077662,16.0,100.0,1.9390824362635612,0.11663737799972296,0.0036806258625195674,0.011150239731553787,0.07706741209286751,0.20583333478619656,0.3180101782811487,0.0,0.8560000061988831
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,247.67196932834656,25,0.27320000231266023,0.321277703315105,0.0,0.8920000195503235,75.2,31.110984126724976,12.0,100.0,1.9356876990447442,0.12105390941724181,-0.005559539931709878,0.01203380592475393,0.09709652172010715,0.27320000231266023,0.321277703315105,0.0,0.8920000195503235
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,245.61966845781672,33,0.3583225838599666,0.31880992554182824,0.0,0.8920000195503235,67.35483870967742,31.130887459342425,12.0,100.0,1.9297313032050927,0.1535575594753027,-0.035389419961575186,0.015983500840472214,0.12578035741087826,0.3583225838599666,0.31880992554182824,0.0,0.8920000195503235
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,243.99476012291976,41,0.25995833178361255,0.3121732228030799,0.0,0.8019999861717224,76.20833333333333,29.767122756864197,22.0,100.0,1.9235969825337331,0.14741559497391185,0.004107904106300945,0.009826591153190142,0.06502251454683511,0.25995833178361255,0.3121732228030799,0.0,0.8019999861717224
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
