U 18 | F 036864 | FPS 0248 | D 148 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.002 | pL 0.001 | vL 0.000 | ∇ 0.007
U 19 | F 038912 | FPS 0238 | D 156 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.946 | V 0.002 | pL 0.000 | vL 0.000 | ∇ 0.005
U 20 | F 040960 | FPS 0233 | D 165 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.946 | V 0.002 | pL 0.000 | vL 0.000 | ∇ 0.006
Status saved
U 21 | F 043008 | FPS 0247 | D 173 | rR:μσmM 0.04 0.16 0.00 0.67 | F:μσmM 240.1 38.2 92.0 250.0 | H 1.944 | V -0.003 | pL -0.004 | vL 0.002 | ∇ 0.020
U 22 | F 045056 | FPS 0250 | D 182 | rR:μσmM 0.09 0.20 0.00 0.67 | F:μσmM 231.1 46.3 92.0 250.0 | H 1.942 | V 0.015 | pL -0.004 | vL 0.002 | ∇ 0.021
U 23 | F 047104 | FPS 0249 | D 190 | rR:μσmM 0.04 0.13 0.00 0.53 | F:μσmM 241.0 29.2 130.0 250.0 | H 1.942 | V 0.009 | pL 0.002 | vL 0.000 | ∇ 0.007
U 24 | F 049152 | FPS 0248 | D 198 | rR:μσmM 0.02 0.07 0.00 0.28 | F:μσmM 246.8 12.3 199.0 250.0 | H 1.944 | V 0.007 | pL 0.002 | vL 0.000 | ∇ 0.006
U 25 | F 051200 | FPS 0244 | D 207 | rR:μσmM 0.03 0.11 0.00 0.45 | F:μσmM 244.0 23.2 154.0 250.0 | H 1.945 | V 0.008 | pL -0.004 | vL 0.001 | ∇ 0.015
U 26 | F 053248 | FPS 0240 | D 215 | rR:μσmM 0.09 0.24 0.00 0.81 | F:μσmM 228.9 56.7 52.0 250.0 | H 1.944 | V 0.027 | pL -0.014 | vL 0.006 | ∇ 0.041
U 27 | F 055296 | FPS 0239 | D 224 | rR:μσmM 0.11 0.25 0.00 0.81 | F:μσmM 223.9 58.2 52.0 250.0 | H 1.942 | V 0.023 | pL 0.001 | vL 0.001 | ∇ 0.015
U 28 | F 057344 | FPS 0241 | D 232 | rR:μσmM 0.02 0.09 0.00 0.39 | F:μσmM 244.9 19.6 169.0 250.0 | H 1.943 | V 0.020 | pL 0.005 | vL 0.000 | ∇ 0.006
U 29 | F 059392 | FPS 0245 | D 241 | rR:μσmM 0.05 0.16 0.00 0.64 | F:μσmM 239.2 36.4 100.0 250.0 | H 1.944 | V 0.019 | pL 0.002 | vL 0.000 | ∇ 0.010
