U 18 | F 036864 | FPS 0235 | D 154 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 40.0 0.0 40.0 40.0 | H 1.944 | V 0.008 | pL 0.006 | vL 0.000 | ∇ 0.005
U 19 | F 038912 | FPS 0232 | D 163 | rR:μσmM 0.00 0.02 0.00 0.17 | F:μσmM 39.9 0.4 37.0 40.0 | H 1.944 | V 0.003 | pL 0.003 | vL 0.000 | ∇ 0.004
U 20 | F 040960 | FPS 0233 | D 172 | rR:μσmM 0.04 0.16 0.00 0.89 | F:μσmM 38.6 5.9 5.0 40.0 | H 1.942 | V 0.011 | pL -0.007 | vL 0.004 | ∇ 0.025
Status saved
U 21 | F 043008 | FPS 0234 | D 180 | rR:μσmM 0.01 0.08 0.00 0.57 | F:μσmM 39.5 2.9 19.0 40.0 | H 1.940 | V 0.002 | pL -0.002 | vL 0.002 | ∇ 0.014
U 22 | F 045056 | FPS 0243 | D 189 | rR:μσmM 0.02 0.12 0.00 0.87 | F:μσmM 39.3 4.7 6.0 40.0 | H 1.937 | V 0.006 | pL -0.002 | vL 0.002 | ∇ 0.015
U 23 | F 047104 | FPS 0233 | D 197 | rR:μσmM 0.01 0.04 0.00 0.28 | F:μσmM 39.8 1.1 32.0 40.0 | H 1.938 | V 0.008 | pL -0.001 | vL 0.001 | ∇ 0.013
U 24 | F 049152 | FPS 0222 | D 207 | rR:μσmM 0.02 0.12 0.00 0.64 | F:μσmM 39.1 4.3 16.0 40.0 | H 1.938 | V 0.009 | pL -0.005 | vL 0.003 | ∇ 0.028
U 25 | F 051200 | FPS 0238 | D 215 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 40.0 0.0 40.0 40.0 | H 1.940 | V 0.005 | pL 0.004 | vL 0.000 | ∇ 0.008
U 26 | F 053248 | FPS 0242 | D 224 | rR:μσmM 0.00 0.01 0.00 0.10 | F:μσmM 40.0 0.0 40.0 40.0 | H 1.942 | V 0.002 | pL 0.001 | vL 0.000 | ∇ 0.007
U 27 | F 055296 | FPS 0241 | D 232 | rR:μσmM 0.01 0.10 0.00 0.75 | F:μσmM 39.4 4.0 11.0 40.0 | H 1.941 | V 0.002 | pL -0.003 | vL 0.002 | ∇ 0.013
U 28 | F 057344 | FPS 0243 | D 241 | rR:μσmM 0.02 0.11 0.00 0.73 | F:μσmM 39.3 4.0 12.0 40.0 | H 1.939 | V 0.004 | pL -0.006 | vL 0.003 | ∇ 0.018
U 29 | F 059392 | FPS 0241 | D 249 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 40.0 0.0 40.0 40.0 | H 1.939 | V 0.005 | pL 0.004 | vL 0.000 | ∇ 0.007
U 30 | F 061440 | FPS 0249 | D 257 | rR:μσmM 0.01 0.04 0.00 0.32 | F:μσmM 39.8 1.4 30.0 40.0 | H 1.941 | V 0.001 | pL -0.001 | vL 0.001 | ∇ 0.013
Status saved
U 31 | F 063488 | FPS 0248 | D 266 | rR:μσmM 0.01 0.04 0.00 0.28 | F:μσmM 39.9 1.1 32.0 40.0 | H 1.941 | V 0.000 | pL -0.002 | vL 0.000 | ∇ 0.011
U 32 | F 065536 | FPS 0249 | D 274 | rR:μσmM 0.01 0.05 0.00 0.32 | F:μσmM 39.8 1.4 30.0 40.0 | H 1.942 | V 0.004 | pL -0.001 | vL 0.000 | ∇ 0.010
U 33 | F 067584 | FPS 0250 | D 282 | rR:μσmM 0.04 0.18 0.00 0.87 | F:μσmM 38.3 6.8 6.0 40.0 | H 1.940 | V 0.011 | pL -0.006 | vL 0.005 | ∇ 0.026
U 34 | F 069632 | FPS 0249 | D 290 | rR:μσmM 0.01 0.05 0.00 0.32 | F:μσmM 39.8 1.4 30.0 40.0 | H 1.939 | V 0.008 | pL 0.006 | vL 0.000 | ∇ 0.010
U 35 | F 071680 | FPS 0249 | D 299 | rR:μσmM 0.01 0.08 0.00 0.60 | F:μσmM 39.6 3.0 18.0 40.0 | H 1.940 | V 0.004 | pL -0.002 | vL 0.002 | ∇ 0.016
U 36 | F 073728 | FPS 0243 | D 307 | rR:μσmM 0.03 0.13 0.00 0.82 | F:μσmM 39.0 5.1 8.0 40.0 | H 1.939 | V 0.002 | pL -0.001 | vL 0.002 | ∇ 0.015
U 37 | F 075776 | FPS 0243 | D 315 | rR:μσmM 0.01 0.08 0.00 0.57 | F:μσmM 39.5 2.9 19.0 40.0 | H 1.937 | V 0.010 | pL -0.004 | vL 0.002 | ∇ 0.030
U 38 | F 077824 | FPS 0246 | D 324 | rR:μσmM 0.03 0.13 0.00 0.75 | F:μσmM 38.9 5.0 11.0 40.0 | H 1.933 | V 0.014 | pL 0.001 | vL 0.003 | ∇ 0.023
U 39 | F 079872 | FPS 0249 | D 332 | rR:μσmM 0.01 0.04 0.00 0.30 | F:μσmM 39.8 1.3 31.0 40.0 | H 1.934 | V 0.006 | pL 0.001 | vL 0.000 | ∇ 0.015
U 40 | F 081920 | FPS 0248 | D 340 | rR:μσmM 0.00 0.02 0.00 0.14 | F:μσmM 40.0 0.3 38.0 40.0 | H 1.937 | V 0.006 | pL 0.003 | vL 0.000 | ∇ 0.008
Status saved
U 41 | F 083968 | FPS 0250 | D 349 | rR:μσmM 0.01 0.05 0.00 0.35 | F:μσmM 39.8 1.5 29.0 40.0 | H 1.940 | V 0.004 | pL -0.000 | vL 0.001 | ∇ 0.014
U 42 | F 086016 | FPS 0248 | D 357 | rR:μσmM 0.02 0.10 0.00 0.60 | F:μσmM 39.3 3.7 18.0 40.0 | H 1.941 | V 0.008 | pL -0.005 | vL 0.003 | ∇ 0.022
U 43 | F 088064 | FPS 0247 | D 365 | rR:μσmM 0.03 0.11 0.00 0.62 | F:μσmM 39.0 4.1 17.0 40.0 | H 1.940 | V 0.021 | pL -0.004 | vL 0.002 | ∇ 0.032
U 44 | F 090112 | FPS 0243 | D 374 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 40.0 0.0 40.0 40.0 | H 1.941 | V 0.007 | pL 0.009 | vL 0.000 | ∇ 0.008
U 45 | F 092160 | FPS 0243 | D 382 | rR:μσmM 0.02 0.10 0.00 0.60 | F:μσmM 39.3 3.5 18.0 40.0 | H 1.939 | V 0.008 | pL -0.003 | vL 0.002 | ∇ 0.022
U 46 | F 094208 | FPS 0241 | D 390 | rR:μσmM 0.02 0.09 0.00 0.57 | F:μσmM 39.4 3.1 19.0 40.0 | H 1.939 | V 0.009 | pL -0.004 | vL 0.001 | ∇ 0.021
U 47 | F 096256 | FPS 0242 | D 399 | rR:μσmM 0.01 0.05 0.00 0.32 | F:μσmM 39.7 1.5 30.0 40.0 | H 1.940 | V 0.009 | pL 0.006 | vL 0.000 | ∇ 0.011
U 48 | F 098304 | FPS 0243 | D 407 | rR:μσmM 0.04 0.14 0.00 0.82 | F:μσmM 38.7 5.2 8.0 40.0 | H 1.941 | V 0.015 | pL -0.006 | vL 0.002 | ∇ 0.017
