U 18 | F 036864 | FPS 0235 | D 157 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.004 | pL 0.001 | vL 0.000 | ∇ 0.005
U 19 | F 038912 | FPS 0234 | D 166 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.946 | V 0.003 | pL 0.001 | vL 0.000 | ∇ 0.007
U 20 | F 040960 | FPS 0235 | D 175 | rR:μσmM 0.01 0.04 0.00 0.17 | F:μσmM 248.8 4.8 230.0 250.0 | H 1.946 | V 0.002 | pL -0.001 | vL 0.000 | ∇ 0.009
Status saved
U 21 | F 043008 | FPS 0234 | D 183 | rR:μσmM 0.01 0.04 0.00 0.17 | F:μσmM 248.8 4.8 230.0 250.0 | H 1.946 | V 0.002 | pL 0.001 | vL 0.000 | ∇ 0.006
U 22 | F 045056 | FPS 0233 | D 192 | rR:μσmM 0.04 0.17 0.00 0.72 | F:μσmM 239.3 41.4 79.0 250.0 | H 1.945 | V -0.001 | pL -0.006 | vL 0.003 | ∇ 0.025
U 23 | F 047104 | FPS 0233 | D 201 | rR:μσmM 0.04 0.17 0.00 0.72 | F:μσmM 239.3 41.4 79.0 250.0 | H 1.945 | V 0.007 | pL 0.002 | vL 0.000 | ∇ 0.013
U 24 | F 049152 | FPS 0234 | D 210 | rR:μσmM 0.01 0.04 0.00 0.18 | F:μσmM 248.6 5.6 227.0 250.0 | H 1.945 | V 0.004 | pL -0.001 | vL 0.000 | ∇ 0.007
U 25 | F 051200 | FPS 0235 | D 218 | rR:μσmM 0.03 0.07 0.00 0.24 | F:μσmM 246.1 10.8 210.0 250.0 | H 1.945 | V 0.009 | pL -0.001 | vL 0.000 | ∇ 0.014
U 26 | F 053248 | FPS 0235 | D 227 | rR:μσmM 0.02 0.06 0.00 0.24 | F:μσmM 247.5 9.7 210.0 250.0 | H 1.945 | V 0.006 | pL 0.002 | vL 0.000 | ∇ 0.008
U 27 | F 055296 | FPS 0235 | D 236 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.006 | pL 0.001 | vL 0.000 | ∇ 0.005
U 28 | F 057344 | FPS 0235 | D 245 | rR:μσmM 0.02 0.08 0.00 0.31 | F:μσmM 246.3 14.3 191.0 250.0 | H 1.945 | V 0.008 | pL -0.002 | vL 0.001 | ∇ 0.011
U 29 | F 059392 | FPS 0234 | D 253 | rR:μσmM 0.05 0.14 0.00 0.51 | F:μσmM 239.2 30.2 136.0 250.0 | H 1.944 | V 0.008 | pL -0.004 | vL 0.001 | ∇ 0.017
U 30 | F 061440 | FPS 0233 | D 262 | rR:μσmM 0.03 0.12 0.00 0.51 | F:μσmM 242.9 27.6 136.0 250.0 | H 1.944 | V 0.007 | pL 0.002 | vL 0.000 | ∇ 0.006
Status saved
U 31 | F 063488 | FPS 0234 | D 271 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.006 | pL 0.001 | vL 0.000 | ∇ 0.005
U 32 | F 065536 | FPS 0235 | D 280 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.005 | pL 0.001 | vL 0.000 | ∇ 0.005
U 33 | F 067584 | FPS 0235 | D 288 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.946 | V 0.005 | pL 0.001 | vL 0.000 | ∇ 0.005
U 34 | F 069632 | FPS 0235 | D 297 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.946 | V 0.004 | pL 0.001 | vL 0.000 | ∇ 0.006
U 35 | F 071680 | FPS 0234 | D 306 | rR:μσmM 0.03 0.08 0.00 0.25 | F:μσmM 245.4 12.3 209.0 250.0 | H 1.946 | V 0.012 | pL -0.003 | vL 0.000 | ∇ 0.016
U 36 | F 073728 | FPS 0233 | D 315 | rR:μσmM 0.06 0.13 0.00 0.44 | F:μσmM 239.5 24.8 156.0 250.0 | H 1.945 | V 0.006 | pL -0.004 | vL 0.001 | ∇ 0.016
