U 18 | F 036864 | FPS 0171 | D 214 | rR:μσmM 0.00 0.03 0.00 0.23 | F:μσmM 39.9 0.8 34.0 40.0 | H 1.943 | V 0.012 | pL 0.006 | vL 0.000 | ∇ 0.011
U 19 | F 038912 | FPS 0171 | D 225 | rR:μσmM 0.02 0.12 0.00 0.84 | F:μσmM 39.4 4.5 7.0 40.0 | H 1.942 | V 0.008 | pL 0.001 | vL 0.002 | ∇ 0.014
U 20 | F 040960 | FPS 0171 | D 237 | rR:μσmM 0.02 0.10 0.00 0.73 | F:μσmM 39.3 3.9 12.0 40.0 | H 1.940 | V 0.010 | pL -0.005 | vL 0.003 | ∇ 0.027
Status saved
U 21 | F 043008 | FPS 0171 | D 249 | rR:μσmM 0.01 0.05 0.00 0.32 | F:μσmM 39.8 1.4 30.0 40.0 | H 1.940 | V 0.011 | pL 0.004 | vL 0.001 | ∇ 0.013
U 22 | F 045056 | FPS 0171 | D 261 | rR:μσmM 0.02 0.11 0.00 0.64 | F:μσmM 39.2 3.9 16.0 40.0 | H 1.939 | V 0.016 | pL -0.003 | vL 0.003 | ∇ 0.023
U 23 | F 047104 | FPS 0170 | D 273 | rR:μσmM 0.03 0.15 0.00 0.89 | F:μσmM 38.8 5.9 5.0 40.0 | H 1.938 | V 0.010 | pL 0.002 | vL 0.004 | ∇ 0.031
U 24 | F 049152 | FPS 0169 | D 286 | rR:μσmM 0.04 0.15 0.00 0.80 | F:μσmM 38.7 5.5 9.0 40.0 | H 1.932 | V 0.005 | pL -0.008 | vL 0.005 | ∇ 0.036
U 25 | F 051200 | FPS 0170 | D 298 | rR:μσmM 0.03 0.15 0.00 0.89 | F:μσmM 38.9 5.6 5.0 40.0 | H 1.930 | V 0.020 | pL -0.001 | vL 0.004 | ∇ 0.031
U 26 | F 053248 | FPS 0171 | D 310 | rR:μσmM 0.02 0.10 0.00 0.69 | F:μσmM 39.4 3.6 14.0 40.0 | H 1.934 | V 0.015 | pL 0.001 | vL 0.002 | ∇ 0.036
U 27 | F 055296 | FPS 0170 | D 322 | rR:μσmM 0.01 0.07 0.00 0.44 | F:μσmM 39.6 2.2 25.0 40.0 | H 1.938 | V 0.006 | pL 0.003 | vL 0.000 | ∇ 0.016
U 28 | F 057344 | FPS 0171 | D 334 | rR:μσmM 0.04 0.16 0.00 0.80 | F:μσmM 38.6 6.0 9.0 40.0 | H 1.936 | V 0.003 | pL -0.005 | vL 0.003 | ∇ 0.046
U 29 | F 059392 | FPS 0171 | D 346 | rR:μσmM 0.03 0.15 0.00 0.80 | F:μσmM 38.7 5.6 9.0 40.0 | H 1.928 | V 0.020 | pL -0.007 | vL 0.005 | ∇ 0.054
U 30 | F 061440 | FPS 0170 | D 358 | rR:μσmM 0.01 0.07 0.00 0.53 | F:μσmM 39.6 2.6 21.0 40.0 | H 1.926 | V 0.014 | pL 0.009 | vL 0.001 | ∇ 0.023
Status saved
U 31 | F 063488 | FPS 0171 | D 370 | rR:μσmM 0.03 0.11 0.00 0.57 | F:μσmM 39.1 3.8 19.0 40.0 | H 1.922 | V 0.014 | pL -0.004 | vL 0.003 | ∇ 0.030
U 32 | F 065536 | FPS 0170 | D 382 | rR:μσmM 0.03 0.14 0.00 0.66 | F:μσmM 38.8 5.0 15.0 40.0 | H 1.921 | V 0.011 | pL -0.006 | vL 0.004 | ∇ 0.059
U 33 | F 067584 | FPS 0171 | D 394 | rR:μσmM 0.01 0.04 0.00 0.30 | F:μσmM 39.8 1.2 31.0 40.0 | H 1.934 | V 0.004 | pL -0.001 | vL 0.001 | ∇ 0.020
U 34 | F 069632 | FPS 0172 | D 406 | rR:μσmM 0.07 0.20 0.00 0.82 | F:μσmM 37.7 7.6 8.0 40.0 | H 1.923 | V 0.016 | pL -0.013 | vL 0.006 | ∇ 0.061
U 35 | F 071680 | FPS 0172 | D 418 | rR:μσmM 0.05 0.16 0.00 0.77 | F:μσmM 38.3 5.8 10.0 40.0 | H 1.917 | V 0.014 | pL -0.003 | vL 0.003 | ∇ 0.055
U 36 | F 073728 | FPS 0172 | D 430 | rR:μσmM 0.05 0.17 0.00 0.91 | F:μσmM 38.3 6.7 4.0 40.0 | H 1.907 | V 0.017 | pL -0.003 | vL 0.004 | ∇ 0.061
U 37 | F 075776 | FPS 0171 | D 441 | rR:μσmM 0.07 0.19 0.00 0.89 | F:μσmM 37.5 7.1 5.0 40.0 | H 1.898 | V 0.017 | pL -0.014 | vL 0.006 | ∇ 0.091
U 38 | F 077824 | FPS 0172 | D 453 | rR:μσmM 0.07 0.18 0.00 0.82 | F:μσmM 37.7 6.7 8.0 40.0 | H 1.899 | V 0.034 | pL -0.012 | vL 0.006 | ∇ 0.083
U 39 | F 079872 | FPS 0171 | D 465 | rR:μσmM 0.03 0.12 0.00 0.66 | F:μσmM 39.0 4.1 15.0 40.0 | H 1.906 | V 0.037 | pL 0.004 | vL 0.003 | ∇ 0.088
U 40 | F 081920 | FPS 0169 | D 478 | rR:μσmM 0.08 0.21 0.00 0.89 | F:μσmM 37.2 7.8 5.0 40.0 | H 1.901 | V 0.033 | pL -0.002 | vL 0.006 | ∇ 0.061
Status saved
U 41 | F 083968 | FPS 0171 | D 490 | rR:μσmM 0.17 0.28 0.00 0.91 | F:μσmM 34.1 10.5 4.0 40.0 | H 1.867 | V 0.062 | pL -0.028 | vL 0.013 | ∇ 0.144
U 42 | F 086016 | FPS 0169 | D 502 | rR:μσmM 0.09 0.21 0.00 0.80 | F:μσmM 36.7 7.6 9.0 40.0 | H 1.870 | V 0.055 | pL -0.006 | vL 0.008 | ∇ 0.091
U 43 | F 088064 | FPS 0172 | D 514 | rR:μσmM 0.15 0.27 0.00 0.80 | F:μσmM 34.6 10.3 9.0 40.0 | H 1.863 | V 0.072 | pL -0.007 | vL 0.009 | ∇ 0.185
U 44 | F 090112 | FPS 0170 | D 526 | rR:μσmM 0.17 0.28 0.00 0.89 | F:μσmM 33.9 10.9 5.0 40.0 | H 1.876 | V 0.071 | pL -0.008 | vL 0.013 | ∇ 0.162
U 45 | F 092160 | FPS 0171 | D 538 | rR:μσmM 0.19 0.30 0.00 0.84 | F:μσmM 33.1 11.5 7.0 40.0 | H 1.856 | V 0.089 | pL -0.005 | vL 0.014 | ∇ 0.130
U 46 | F 094208 | FPS 0170 | D 550 | rR:μσmM 0.16 0.27 0.00 0.84 | F:μσmM 34.4 10.1 7.0 40.0 | H 1.851 | V 0.079 | pL -0.006 | vL 0.014 | ∇ 0.124
U 47 | F 096256 | FPS 0171 | D 562 | rR:μσmM 0.13 0.24 0.00 0.82 | F:μσmM 35.4 8.8 8.0 40.0 | H 1.865 | V 0.070 | pL 0.004 | vL 0.009 | ∇ 0.120
