MiniGrid-DLTestingW16H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,225217.0,1769,127,0.84 0.16 0.00 1.00,225.2 226.5 1.0 1280.0
MiniGrid-DLTestingW16H9T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_1_1,58010.0,962,60,0.96 0.03 0.77 1.00,58.0 43.5 2.0 328.0
MiniGrid-DLTestingW16H9T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_2_2,103027.0,981,105,0.93 0.08 0.48 1.00,103.0 111.3 1.0 746.0
MiniGrid-DLTestingW16H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_2_2,176628.0,1393,126,0.88 0.12 0.30 1.00,176.6 177.7 1.0 1000.0
MiniGrid-DLTestingW16H9T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_5_5,122591.0,1017,120,0.91 0.10 0.39 1.00,122.6 141.4 1.0 867.0
MiniGrid-DLTestingW16H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_4,325150.0,1769,183,0.77 0.23 0.00 1.00,324.8 311.5 2.0 1280.0
MiniGrid-DLTestingW16H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_5_5,186234.0,1188,156,0.87 0.13 0.00 1.00,186.0 181.5 5.0 1280.0
MiniGrid-DLTestingW16H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_4_4,224943.0,1273,176,0.84 0.15 0.00 1.00,224.9 214.2 1.0 1280.0
MiniGrid-DLTestingW16H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_1_1,333490.0,1497,222,0.76 0.25 0.00 1.00,333.5 337.2 2.0 1280.0
MiniGrid-DLTestingW9H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Quantization_2_2,225363.0,1016,221,0.84 0.22 0.00 1.00,225.4 295.0 1.0 1280.0
MiniGrid-DLTestingW16H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Quantization_1_1,592654.0,1668,355,0.56 0.36 0.00 1.00,592.7 465.5 1.0 1280.0
MiniGrid-DLTestingW16H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_2_2,258583.0,951,271,0.82 0.20 0.00 1.00,258.6 273.5 2.0 1280.0
MiniGrid-DLTestingW16H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_5_5,329500.0,976,337,0.76 0.25 0.00 1.00,329.5 343.7 2.0 1280.0
