U 18 | F 036864 | FPS 0258 | D 142 | rR:μσmM 0.03 0.11 0.00 0.45 | F:μσmM 244.0 23.2 154.0 250.0 | H 1.942 | V 0.017 | pL 0.005 | vL 0.000 | ∇ 0.006
U 19 | F 038912 | FPS 0253 | D 150 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.943 | V 0.012 | pL 0.003 | vL 0.000 | ∇ 0.006
U 20 | F 040960 | FPS 0260 | D 158 | rR:μσmM 0.02 0.07 0.00 0.31 | F:μσmM 246.4 13.8 193.0 250.0 | H 1.943 | V 0.010 | pL 0.001 | vL 0.000 | ∇ 0.008
Status saved
U 21 | F 043008 | FPS 0260 | D 165 | rR:μσmM 0.02 0.07 0.00 0.31 | F:μσmM 246.4 13.8 193.0 250.0 | H 1.944 | V 0.008 | pL 0.002 | vL 0.000 | ∇ 0.005
U 22 | F 045056 | FPS 0261 | D 173 | rR:μσmM 0.01 0.03 0.00 0.14 | F:μσmM 249.4 2.4 240.0 250.0 | H 1.944 | V 0.007 | pL 0.001 | vL 0.000 | ∇ 0.006
U 23 | F 047104 | FPS 0260 | D 181 | rR:μσmM 0.12 0.24 0.00 0.81 | F:μσmM 224.4 56.4 53.0 250.0 | H 1.943 | V 0.022 | pL -0.015 | vL 0.005 | ∇ 0.024
U 24 | F 049152 | FPS 0262 | D 189 | rR:μσmM 0.13 0.27 0.00 0.81 | F:μσmM 220.6 65.1 53.0 250.0 | H 1.940 | V 0.031 | pL -0.002 | vL 0.004 | ∇ 0.036
U 25 | F 051200 | FPS 0258 | D 197 | rR:μσmM 0.08 0.22 0.00 0.81 | F:μσmM 230.8 53.2 53.0 250.0 | H 1.940 | V 0.032 | pL 0.002 | vL 0.001 | ∇ 0.015
U 26 | F 053248 | FPS 0256 | D 205 | rR:μσmM 0.03 0.12 0.00 0.50 | F:μσmM 243.1 26.9 139.0 250.0 | H 1.941 | V 0.029 | pL 0.008 | vL 0.000 | ∇ 0.009
U 27 | F 055296 | FPS 0258 | D 213 | rR:μσmM 0.01 0.05 0.00 0.20 | F:μσmM 248.3 6.5 223.0 250.0 | H 1.943 | V 0.024 | pL 0.004 | vL 0.000 | ∇ 0.008
U 28 | F 057344 | FPS 0252 | D 221 | rR:μσmM 0.05 0.09 0.00 0.27 | F:μσmM 243.9 13.3 202.0 250.0 | H 1.943 | V 0.020 | pL 0.000 | vL 0.000 | ∇ 0.014
U 29 | F 059392 | FPS 0259 | D 229 | rR:μσmM 0.06 0.11 0.00 0.33 | F:μσmM 240.8 18.6 187.0 250.0 | H 1.942 | V 0.020 | pL -0.000 | vL 0.001 | ∇ 0.013
U 30 | F 061440 | FPS 0262 | D 237 | rR:μσmM 0.06 0.13 0.00 0.43 | F:μσmM 239.4 26.2 157.0 250.0 | H 1.942 | V 0.024 | pL 0.002 | vL 0.000 | ∇ 0.012
Status saved
U 31 | F 063488 | FPS 0262 | D 245 | rR:μσmM 0.06 0.17 0.00 0.60 | F:μσmM 235.4 39.4 110.0 250.0 | H 1.943 | V 0.018 | pL -0.001 | vL 0.002 | ∇ 0.018
U 32 | F 065536 | FPS 0262 | D 252 | rR:μσmM 0.06 0.16 0.00 0.60 | F:μσmM 237.9 35.4 110.0 250.0 | H 1.943 | V 0.016 | pL 0.000 | vL 0.000 | ∇ 0.013
U 33 | F 067584 | FPS 0258 | D 260 | rR:μσmM 0.09 0.22 0.00 0.87 | F:μσmM 231.5 52.6 35.0 250.0 | H 1.943 | V 0.016 | pL -0.001 | vL 0.001 | ∇ 0.013
U 34 | F 069632 | FPS 0256 | D 268 | rR:μσmM 0.14 0.25 0.00 0.87 | F:μσmM 220.4 59.3 35.0 250.0 | H 1.942 | V 0.017 | pL -0.007 | vL 0.002 | ∇ 0.020
U 35 | F 071680 | FPS 0259 | D 276 | rR:μσmM 0.07 0.16 0.00 0.55 | F:μσmM 235.6 35.3 124.0 250.0 | H 1.942 | V 0.017 | pL 0.004 | vL 0.000 | ∇ 0.009
U 36 | F 073728 | FPS 0261 | D 284 | rR:μσmM 0.09 0.24 0.00 0.88 | F:μσmM 229.2 57.7 34.0 250.0 | H 1.942 | V 0.022 | pL -0.007 | vL 0.004 | ∇ 0.030
U 37 | F 075776 | FPS 0261 | D 292 | rR:μσmM 0.09 0.24 0.00 0.88 | F:μσmM 229.2 57.7 34.0 250.0 | H 1.942 | V 0.023 | pL 0.005 | vL 0.000 | ∇ 0.007
