update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,376.9765622802279,5,0.03595000132918358,0.1392337564440625,0.0,0.5752000212669373,7.375,28.5632521782797,0.0,118.0,1.9446261053284009,0.04880330211017281,0.0035519842789047593,0.0008146502999485014,0.05806804737036816,0.03595000132918358,0.1392337564440625,0.0,0.5752000212669373
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,388.15817507332247,10,0.11247500218451023,0.1807914434083259,0.0,0.5752000212669373,227.4375,38.65871303794269,118.0,250.0,1.9443410653620958,0.053146410326007754,0.0003312904542932908,0.001661347376852973,0.06207040657080649,0.11247500218451023,0.1807914434083259,0.0,0.5752000212669373
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,394.863870999979,15,0.07652500085532665,0.137119126459699,0.0,0.3880000114440918,235.6875,26.640473789893452,170.0,250.0,1.9442355521023273,0.040833947772625834,0.00827161693450762,2.593716483308602e-05,0.04084572120968933,0.07652500085532665,0.137119126459699,0.0,0.3880000114440918
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,395.7994891244853,21,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9450960420072079,0.02724140993086621,0.010336056317707213,5.992982637555618e-05,0.036482770070088086,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,413.3105383057103,26,0.10267500020563602,0.2178985880520072,0.0,0.6435999870300293,226.6875,49.937108884576006,99.0,250.0,1.9448719564825296,0.03179686855097922,-0.0049246613160297175,0.002088581982945925,0.04225713242546266,0.10267500020563602,0.2178985880520072,0.0,0.6435999870300293
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,407.3976092455204,31,0.11634999979287386,0.21789152739346987,0.0,0.6435999870300293,224.625,49.61208900056518,99.0,250.0,1.944428204248349,0.021423276339191943,0.00475744369335492,0.00025561322281279314,0.03272868495360336,0.11634999979287386,0.21789152739346987,0.0,0.6435999870300293
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,398.3831823322809,36,0.05097500141710043,0.15051339220822157,0.0,0.5968000292778015,239.3125,33.82439716757713,112.0,250.0,1.944866880774498,0.01857629183602209,-0.002558111714279221,0.0018754528929747494,0.026310162945240818,0.05097500141710043,0.15051339220822157,0.0,0.5968000292778015
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,396.4700233609855,41,0.05120000150054693,0.15076658079292118,0.0,0.5968000292778015,239.25,33.86646571462691,112.0,250.0,1.94483193444709,0.015761979200760834,0.0023739511567934337,0.00025611366407751746,0.020162397913674465,0.05120000150054693,0.15076658079292118,0.0,0.5968000292778015
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,405.80990953771567,46,0.06239999923855066,0.13595506512262331,0.0,0.44920000433921814,237.875,27.592741346230895,153.0,250.0,1.9447507144262393,0.015877806722225312,-0.004792338979617246,0.0015924760270825307,0.027982939562335718,0.06239999923855066,0.13595506512262331,0.0,0.44920000433921814
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,393.7590950677837,51,0.048499999567866325,0.13013043389562812,0.0,0.44920000433921814,240.0,27.131623615257528,153.0,250.0,1.9448388790090878,0.010778828203910962,0.003354262445858088,8.058277709999118e-06,0.01998164217128932,0.048499999567866325,0.13013043389562812,0.0,0.44920000433921814
11,22528,392.0974012051952,56,0.05282500013709068,0.2045903457943567,0.0,0.8452000021934509,237.0625,50.106722041558456,43.0,250.0,1.9447073520471652,0.007535232752464556,0.0018610880430666537,9.880285023911028e-06,0.01558986899883815,0.05282500013709068,0.2045903457943567,0.0,0.8452000021934509
